id,campus,building,device_name,device_ip,vms_id,grp_serial,dev_serial,dch_ch,vms_ip,vms_ch,geo_pos,layer,floor
(1376, None, None, 'PT3 3F 서쪽 IDF H_162.98(공사완료 후 설치예정)', '172.18.162.98', 100371, 1, 1165, 0, '10.236.1.104', '106', None, None, None)
(1377, None, None, 'PT3 3F 서쪽 복도 방화문_162.99', '172.18.162.99', 100371, 1, 1166, 0, '10.236.1.104', '107', None, None, None)
(1378, None, None, 'PT3 3F 서쪽 A.L SHOW #2_162.100(공사로 인한 임시철거 08/11)', '172.18.162.100', 100371, 1, 1167, 0, '10.236.1.104', '108', None, None, None)
(1379, None, None, 'PT3 3F 남쪽 E/V 2_162.93', '172.18.162.93', 100371, 1, 1168, 0, '10.236.1.104', '109', None, None, None)
(1380, None, None, 'PT3 3F 동쪽 AL#3_162.92', '172.18.162.92', 100371, 1, 1169, 0, '10.236.1.104', '110', None, None, None)
(1381, None, None, 'PT3 3F 남쪽 복도_162.94', '172.18.162.94', 100371, 1, 1170, 0, '10.236.1.104', '111', None, None, None)
(1382, None, None, 'SYS 3F WAFER 반입구_152.21', '172.18.152.21', 100371, 1, 1171, 0, '10.236.1.101', '35', None, None, None)
(1383, None, None, 'PT3 1F 1번반입구 좌_162.69', '172.18.162.69', 100371, 1, 1172, 0, '10.236.1.104', '112', None, None, None)
(1384, None, None, 'PT3 1F 1번반입구 우_162.70', '172.18.162.70', 100371, 1, 1173, 0, '10.236.1.104', '113', None, None, None)
(1385, None, None, 'MaskShop_4F 분석자재지원센터 주출입구_158.46', '172.18.158.46', 100371, 1, 1174, 0, '10.236.1.104', '114', None, None, None)
(1386, None, None, 'MaskShop_4F 분석자재지원센터 주출입구(OUT)_158.47', '172.18.158.47', 100371, 1, 1175, 0, '10.236.1.104', '115', None, None, None)
(1387, None, None, 'MaskShop_4F 3_분석자재지원센터 내부1_158.48', '172.18.158.48', 100371, 1, 1176, 0, '10.236.1.104', '116', None, None, None)
(1388, None, None, 'MaskShop_4F 분석자재지원센터 내부2_158.49', '172.18.158.49', 100371, 1, 1177, 0, '10.236.1.104', '117', None, None, None)
(1389, None, None, 'MaskShop_4F 분석자재지원센터 부출입구_158.50', '172.18.158.50', 100371, 1, 1178, 0, '10.236.1.104', '118', None, None, None)
(1443, None, None, 'CORE 1번 19.47', '10.236.19.47', 100371, 1, 1179, 0, '10.236.1.105', '49', None, None, None)
(1444, None, None, 'CORE 1번 19.48', '10.236.19.48', 100371, 1, 1180, 0, '10.236.1.105', '50', None, None, None)
(1445, None, None, 'CORE 1번 19.49', '10.236.19.49', 100371, 1, 1181, 0, '10.236.1.105', '51', None, None, None)
(1446, None, None, 'CORE 1번 19.50', '10.236.19.50', 100371, 1, 1182, 0, '10.236.1.105', '52', None, None, None)
(1447, None, None, '4F CORE#4 홀_14.31', '10.236.14.31', 100371, 1, 1183, 0, '10.236.1.105', '53', None, None, None)
(1448, None, None, '4F 복도_14.33', '10.236.14.33', 100371, 1, 1184, 0, '10.236.1.105', '54', None, None, None)
(1449, None, None, '4F CORE#4 계단실_14.32', '10.236.14.32', 100371, 1, 1185, 0, '10.236.1.105', '55', None, None, None)
(1450, None, None, '4MF 복도_14.81', '10.236.14.81', 100371, 1, 1186, 0, '10.236.1.105', '56', None, None, None)
(1451, None, None, '4MF EPS 15_14.82', '10.236.14.82', 100371, 1, 1187, 0, '10.236.1.105', '57', None, None, None)
(1452, None, None, '4MF CORE#2 홀_14.83', '10.236.14.83', 100371, 1, 1188, 0, '10.236.1.105', '58', None, None, None)
(1453, None, None, '4MF EPS 2_14.84', '10.236.14.84', 100371, 1, 1189, 0, '10.236.1.105', '59', None, None, None)
(1454, None, None, '4MF CORE#2 홀_14.85', '10.236.14.85', 100371, 1, 1190, 0, '10.236.1.105', '60', None, None, None)
(1455, None, None, '4MF CORE#3 계단실_14.86', '10.236.14.86', 100371, 1, 1191, 0, '10.236.1.105', '61', None, None, None)
(1456, None, None, '4MF CORE#3 홀_14.87', '10.236.14.87', 100371, 1, 1192, 0, '10.236.1.105', '62', None, None, None)
(1457, None, None, '4MF CORE#6 홀 복도_14.92', '10.236.14.92', 100371, 1, 1193, 0, '10.236.1.105', '63', None, None, None)
(1458, None, None, '5F EPS3_15.32', '10.236.15.32', 100371, 1, 1194, 0, '10.236.1.105', '64', None, None, None)
